	Collocate	Freq	Coll. freq.	logDice	Category (Dominant)	Category #2	Category #3	Examples	Example (Translation)	Notes/Rationale
0	država	11400	183079	10.27008	Norms & values			Drugega razloga tu, razumnega, ni, razen da nekdo povleče provizijo od tega, da sprošča ta trg in spušča druge notri, da bodo odnašali denar iz naše države, iz naše Slovenije. 	There is no other reasonable explanation for this, except that someone is taking a commission from opening up this market and letting others in to take money out of our country, out of our Slovenia.	Naša država (our country): The highest logDice score (>10), indicating an almost formulaic association in parliamentary speech. The phrase naša država carries national-pride connotations and functions as an important political identity marker (related to Norms and Values). 
1	mnenje	5156	58813	9.88847	Activities/Discourse	Membership	Group relations	Naj spomnim še na eno tistih potez, ki je po našem mnenju najbolj zaznamovala zgrešeno politiko te vlade in njenega predsednika.	Let me remind you of another move that, in our opinion, best exemplifies the misguided policies of this government and its president.	Naše mnenje (our opinion): Discursive act, often used in the common phrase (po) našem mnenju / In our opinion),. Functions mainly as a stance-marking device in parliamentary debate. It signals the speaker’s (or group's) position. It also indirectly signals speakers relation to specific group/political party etc. (Membership and/or Group relations). 
2	poslanski	6788	150787	9.68496	Membership			V naši poslanski skupini ste imeli zaveznike, ko smo bili na Vladi in imate zaveznike sedaj v opozicije in zaveznike boste imeli tudi v bodoče. 	You had allies in our parliamentary group when we were in government, you have allies now in the opposition, and you will have allies in the future.	Naši poslanski [...] (coalition, adj.): High frequency and a high logDice score show a strong association in the phrase (v) naši poslanski (skupini) (in our parliamentary group). Unlike naše mnenje, this collocation directly indexes the speaker’s Membership identity by explicitly referring to their parliamentary group .
3	ocena	3113	22759	9.48654	Activities/Discourse	Membership	Group relations	Poleg tega je po naši oceni šlo tudi za politično improvizacijo, saj ne novi minister in ne nova vladna služba nista odločilni pogoj za nadaljnje korake Slovenije pri digitalizaciji. 	Furthermore, in our opinion, this was also a case of political improvisation, as neither the new minister nor the new government department are decisive factors in Slovenia's next steps towards digitalization.	Naša ocena (our opinion/evaluation): An evaluative, discursive act, most commonly seen within the phrase (po naši oceni – in our estimation), where the speaker's connection with an explicit group is not directly stated but implied, and most often refers either to the speaker's parliamentary group or the party's status (coalition or opposition).
4	družba	2585	48512	8.97826	Norms & values			Izobraževanje kot ključna vrednota v naši družbi ostaja javno dobro.	Education as a key value in our society remains a public good.	The collocation Naša družba (our society) relates to the notion of society and serves a similar function to naša država. While naša država can still appear in neutral contexts, naša družba consistently invokes shared values and collective identity.
5	državljan	2091	39018	8.75624	Norms & values			Po novem torej ne bomo ravnali urgentno, da bi zaščitili naše državljane, torej njih in sebe, ampak počasi procesirali ukrepe in tako pustili tej ali drugi zahrbtni nalezljivi bolezni uničevalen pohod.	So, from now on, we will not act urgently to protect our citizens, and therefore ourselves, but will slowly process measures and thus allow this or other insidious infectious diseases to run rampant.	Naš državljan (our citizen) functions similarly to uses of država, but with an even more explicit virtue-signalling role. The collocation implies care, responsibility, or good intentions on the part of the MP or their parliamentary group, making the appeal to shared identity and moral positioning more direct.
6	amandma	3229	158002	8.57505	Activities/Discourse	Aims		Prav tako ste žal zavrnili naš amandma, katerega cilj je bilo izboljšanje položaja in statusa doktorskih študentov in raziskovalcev na začetku kariere.	Unfortunately, you also rejected our amendment, which aimed to improve the position and status of doctoral students and early-career researchers.	Naš amandma (our amendment) serves a similar function to naše mnenje. It is an indirect expression of political gain or aims through an activity and discourse, such as having our amendment accepted or needing to defend the amendment.
7	predlog	3342	231830	8.28428	Activities/Discourse	Aims		Zato tudi ni čudno, da ste zavrnili naše predloge, da se določi ambicioznejše cilje glede financiranja znanosti v Sloveniji.	It is therefore not surprising that you rejected our proposals to set more ambitious targets for science funding in Slovenia.	Naš predlog (our proposal) mirrors the function of amandma, as predlog can also be used as a synonym for concrete parliamentary activities (e.g., amendment, legislation, bill revision). 
8	skupen	1207	17886	8.16996	Norms & values	Aims		Ta zakon je v interesu mednarodnega miru, je v interesu Slovenije, je v našem skupnem interesu in v SDS ga bomo soglasno podprli.	This law is in the interests of international peace, it is in the interests of Slovenia, it is in our common interests, and we in the SDS will unanimously support it.	Adjective that refers to common or shared values and goals (e.g. Our common future/responsibility/work/...goal/interest/initiative/desire/) and can also serve as an expression of a political aim that MPs or a parliamentary group want to achieve.
9	državljanka	1116	15107	8.08637	Norms & values			Menimo, da predlog zakona prinaša dobre rešitev za naše državljanke in državljane ter tudi za okolje.	We believe that the draft law offers good solutions for our citizens and for the environment.	Same function as državljan
10	gospodarstvo	1211	37985	7.97768	Norms & values			Italijani hodijo k nam zapravljat denar, s tem povečujejo naše gospodarstvo in pridno polnijo slovenski državni proračun. 	Italians come to us to spend money, thereby boosting our economy and diligently filling the Slovenian state budget.	Naše gospodarstvo (Our economy): Denotes a common value and our here serves primarily as a collective identity marker.
11	stranka	1415	87951	7.80459	Membership			Ob tem želim poudariti, da si naša stranka prizadeva, da bi študenti lahko študirali v svoji regiji ali čim bliže tej.	I would like to emphasize that our party is committed to ensuring that students can study in their own region or as close to it as possible.	Naša stranka (Our party): Almost exclusively referring to the speaker's parliamentary group or party. 
12	otrok	1047	35272	7.79282	Norms & values			Naša prihodnost in naših otrok, vnukov ne smemo postaviti na kocko, kajti pravico imamo živeti v zdravem, čistem okolju, piti neoporečno pitno vodo.	We must not put our future and that of our children and grandchildren at risk, because we have the right to live in a healthy, clean environment and drink clean drinking water.	Otrok (Naše otroke): figuratively used to convey the image of the future or the next generation. 
13	prepričanje	776	5290	7.67146	Norms & values	Group relations	Ideology	Gospod Aleš Hojs je po našem prepričanju utelešenje vsega, kar je narobe s trenutno vlado.	In our opinion, Mr. Aleš Hojs embodies everything that is wrong with the current government.	Naše prepričanje (Our belief/conviction) primarily signals shared norms and values, expressing a collective stance or ideological position. The membership aspect (naše- party/group) is secondary and can also be distinct of ideological beliefs.
14	človek	1345	104606	7.61996	Norms & values			A se tako dela z našimi ljudmi, ki so si zaželeli, da rešijo svoj stanovanjski problem, na koncu pa so mnogi padli v bedo? 	A se tako dela z našimi ljudmi, ki so si zaželeli, da rešijo svoj stanovanjski problem, na koncu pa so mnogi padli v bedo?	Naši ljudje (Our people), similar function to the naša državljanka/naš državljan collocation.
15	praven	1051	62555	7.56401	Norms & values	Power resources		Pravica do varstva osebnih podatkov je v našem pravnem redu postavljena na zelo visoko raven.	The right to personal data protection is given a very high priority in our legal system.	Naš pravni … (e.g., red, država, sistem) (Our legal frame, system): the primary function is to present legal or institutional structures as shared, collectively owned . By its definition legal also holds political power.
16	zakonodaja	869	38680	7.49255	Norms & values	Power resources	Group relations	Vzpostavlja še večjo nejasnost zakonodaje in le malo posega v bistvo in srž naše zakonodaje, v zmanjševanje birokracije. 	It creates even greater ambiguity in the legislation and does little to address the essence and core of our legislation, namely reducing bureaucracy. 	Naša zakonodaja (Our legislation): The legislation indexes legal framework and defines what is allowed/what are the norms in political function. It is therefore also an expression of power resources. In most cases, the dual function of our is present and refers to shared legislation. It may also express group affiliation (the party's or group's proposed legislation).
17	ustava	736	27072	7.3629	Power resources	Norms & values		Ker pa se žal ta vlada nekako požvižga na določbe naše ustave, se zaradi tega ni niti potrudila, da bi skupaj s stroko pripravila ustrezne spremembe	Unfortunately, however, this government seems to be ignoring the provisions of our constitution and has not even made an effort to work with experts to prepare the necessary amendments.	Naša ustava (Our Constitution): When a speaker invokes the constitution, it is most often used as a representation of moral and legislative authority. It can also denote a common value.
18	stališče	849	58657	7.28732	Membership	Group relations	Ideology	In če je to stališče Poslanske skupine SAB, spoštovana podpredsednica, nimate pravice posegati v naše stališče.	And if this is the position of the SAB Parliamentary Group, Madam Vice-President, you have no right to interfere with our position.	Same function as prepričanje, mostly refered to the opinion of the parliamentary group.
19	vlada	1649	249910	7.19275	Group relations	Power resources		Uvodoma bom čisto tako rekel: Vaša, naša vlada, katerakoli vlada, je vlada vseh nas. 	Let me start by saying this: Your government, our government, any government, is the government of all of us.	Naša vlada can indicate that the speaker is actually part of the coalition or government, while cynical or critical statements refer to our government currently in power, highlighting the dual function of naš.
