	Collocate	Freq	Coll. freq.	logDice	Category (Dominant)	Category #2	Category #3	Example	Example (Translation)	Notes/Rationale
0	odgovor	1528	48019	9.179	Activities/Discourse			Prosim, če mi daste konkreten odgovor na konkretno vprašanje, kajti enačenje in posploševanje vaših odgovorov,[...]	Please give me a specific answer to a specific question, because equating and generalizing your answers, [...]	The collocation with the highest logDice, which does not exceed 10, suggesting that while the association between “vaš” and “odgovor” is strong, it is not a formulaic or fixed phrase. It is often used to express the typical polite phrase “Hvala za vaš odgovor”, though not exclusively, and in addition to prompting a speaker to give an answer, it can also function as an indirect form of attack.
1	pozornost	466	8300	8.35423				Hvala za vašo pozornost.	Thank you for your attention.	Similar function as odgovor, though here the collocate is almost exclusively a polite phrase (Hvala za vašo pozornost/Thank you for your attention). 
2	ministrstvo	1098	88984	8.14227	Group relations	Power resources		Vaše ministrstvo je kapitalno pogrnilo na referendumu o vodah.	Your ministry suffered a major defeat in the referendum on water.	Your Ministry: the collocation serves as a direct form of attack to criticise the work of the Ministry (and, by extension, a (coalition) party, speaker, etc.), which can be positioned as a formal (political) authority.
3	stran	954	86449	7.96846	Group relations	Ideology	Membership	Nekredibilno, popolnoma nekredibilno z vaše strani.	“Not credible—absolutely not credible on your part.”	Vaša stran (Your side): Can refer directly to a particular party/parliamentary group (from the opposing side), ideological positioning (e.g. Na vaši strani so pa nekateri taki, ki jim samostojnost in neodvisnost Slovenije nista intimna opcija. /On your side, there are some who do not consider Slovenia's independence and autonomy to be an intimate option. ) or individual speaker (Spoštovani gospod Vrtovec, ko je bilo tudi iz vaše strani rečeno, da [...])
4	mnenje	700	58813	7.88291	Activities/Discourse	Group relations		Takih informacij, veste, jaz slišim vsak dan sto, torej bi po vašem mnenju moral vsak dan napisati sto kazenskih prijav.	You know, I hear this kind of information every day, so in your opinion, I should file a hundred criminal complaints every day.	Vaše mnenje (Your opinion): Questions, relating to the opinion of the MP/Minister (Spoštovani minister, zato me zanima vaše mnenje: […]) during MP questions, or a political strategy to delegitimize and frame the opposing side viewpoint as subjective (as seen in the example).
5	izjava	350	10327	7.8799	Activities/Discourse	Group relations		Skratka, vaša izjava je še en mozaik k temu vašemu dojemanju, ki ga očitno delite s svojo stranko SDS in s predsednikom Vlade o sodstvu.	In short, your statement is yet another piece of the mosaic that makes up your perception, which you obviously share with your party, the SDS, and with the Prime Minister regarding the judiciary.	Vaša izjava (Your statement): Discourse activity, either referring to a particular MP, Minister, or a specific (ideologically) opposing group (party, coalition, or opposition)
6	stranka	892	87951	7.85426	Membership			Tega pa ne moremo reči za tiste medije, ki so blizu vaše stranke.	However, we cannot say the same for those media outlets that are close to your party.	Vaša stranka (Your party): Explicit reference to a political party; often serves as object of blame/attack.
7	predhodnik	254	2891	7.65647	Group relations	Ideology	Power resources	 No, in zdaj taka skrb, ki ste jo pokazali tukaj s temi Murglami in s temi vašimi predhodniki, vašimi vzorniki, partijskimi veljaki, ki so za tako nizke cene dobili stanovanja, [...]	Well, and now this concern that you have shown here with these Murglas and your predecessors, your role models, party bigwigs who got apartments for such low prices[...]	Vaš predhodnik (Your predecessor): A (political) predecessor, relates to the role (and function) of an MP/party or a speaker. 
8	koalicijski	322	16644	7.58362	Group relations	Power resources		Vi si itak mislite, saj stvari bodo šle čez, imamo dovolj glasov. Vaši koalicijski poslanci zadeve podprejo, ne glede na vse	You think that things will go through anyway, that we have enough votes. Your coalition MPs will support the matter, no matter what.	Your coalition (colleague/government/partner/...): An adjective that describes the explicit relationship of the subject to a coalition. It implies that the subject is part of the coalition, refers to shared political allies, and often suggests political advantages granted to the opposing side by this political ally or authority.
9	mandat	393	29413	7.56992	Power resources			In s kršenjem pravil boste pripeljali politiko čez vrata naših šol. Zavržno in zelo pomenljivo za konec vašega mandata.	And by breaking the rules, you will bring politics into our schools. This is reprehensible and very significant for the end of your term in office.	Vaš mandat (Your mandate/term): Use of parliamentary mandate to denote the problems/broken promises in the current/previous mandate of the opposing side (i.e. Their period in power). 
